Disruption ID,Date Issued,Start Date,Finish Date,Status,Closure,On Street,From Street,To Street,Impact,Duration,Details,Description,Activity Type,Traffic District,Infrastructure,point
148,"Feb 21, 2023","Mar 06, 2023","Jun 06, 2023",Current,118 St Closed North of 100 Ave,118 Street NW,100 Avenue NW,Jasper Avenue NW,Total Closure,3 Months,118 St will be closed from the first access north of 100 Ave to the second access north of 100 Ave. Local access will be maintained north and south of the closure.,Drainage repair,Construction,Central,Road,POINT (-113.524979128176 53.539368968598)
213,"Mar 29, 2023","Apr 10, 2023","Apr 14, 2023",Current,Reduced to 2 lanes,Yellowhead Trail,107 Street,97 Street,Increased Travel Time,5 Days,"Beginning at 9 a.m. on Monday April 10, Yellowhead Trail Eastbound is reduced to 2 lanes.  Left lane closed; Keep Right.",EPCOR Drainage Vault Repair,Construction,Northeast,Road,POINT (-113.505685589152 53.581345947639)
56,"Jan 13, 2023","Jan 01, 2023","Jul 30, 2023",Current,167 St SW bridge lane closure,167 Street SW,73 Avenue SW,105 Avenue SW,Travel Delays,7 months,"167 St SW, at Whitemud Creed Bridge will be down to 1 lane for both lanes of travel for bridge maintenance. Use 153 St SW, 191 St SW or QE II Highway for detours.",Bridge Maintenance,Construction,Southwest,Road,POINT (-113.610516212747 53.366873941676)
202,"Mar 22, 2023","Mar 24, 2023","Mar 26, 2023",Current,Closure of 86 Ave from 110 St to 111 St,86 Avenue NW,110 Street NW,111 Street NW,Total Closure,3 Days,86 Ave will be closed from 110 St to 111 St for a crane dismantling. The South sidewalk will be closed. A small portion of 86 Ave will be converted to 2 way traffic to accommodate access and egress.,Dismantling a crane,Construction,Central,Road and Sidewalk,POINT (-113.514997998441 53.52194465642)
37,"Jan 17, 2022","Jul 27, 2021","Dec 31, 2024",Current,87 Ave West LRT Construction,87 Avenue NW,170 Street NW,175 Street NW,Travel Delays,3 Years,The right lane of WB 87 Ave will remain closed from 170 St - 175 St for the West LRT construction project. There will be various impacts to sidewalks and mall accesses as work progresses. Additional lane closures will follow with separate or revised TDNs.,West LRT Construction,Construction,Northwest,Road and Sidewalk,POINT (-113.623716708035 53.520304927592)
37,"Jan 17, 2022","Jul 27, 2021","Dec 31, 2024",Current,87 Ave West LRT Construction,87 Avenue NW,170 Street NW,175 Street NW,Travel Delays,3 Years,The right lane of WB 87 Ave will remain closed from 170 St - 175 St for the West LRT construction project. There will be various impacts to sidewalks and mall accesses as work progresses. Additional lane closures will follow with separate or revised TDNs.,West LRT Construction,Construction,Northwest,Road and Sidewalk,POINT (-113.615383585594 53.519548030193)
7,"Jan 11, 2023","Jul 09, 2022","Apr 15, 2023",REVISED,149 Street Closure,149 Street NW,Yellowhead Trail,128 Avenue NW,Total Closure,9 Months,"149 Street will be closed from Yellowhead Trail to 128 Ave. Business access only will be maintained South of 128 Ave. Access to 156 St will be from the service road only. Use St. Albert Trail or 156 Street to 118 Avenue, 123 Avenue, or 128 Avenue",Yellowhead Trail Improvements,Construction,Northwest,Road,POINT (-113.577607365745 53.585606845781)
7,"Jan 11, 2023","Jul 09, 2022","Apr 15, 2023",REVISED,149 Street Closure,149 Street NW,Yellowhead Trail,128 Avenue NW,Total Closure,9 Months,"149 Street will be closed from Yellowhead Trail to 128 Ave. Business access only will be maintained South of 128 Ave. Access to 156 St will be from the service road only. Use St. Albert Trail or 156 Street to 118 Avenue, 123 Avenue, or 128 Avenue",Yellowhead Trail Improvements,Construction,Northwest,Road,POINT (-113.577991003266 53.581289296167)
32,"Jun 14, 2022","Jun 20, 2022","Jun 20, 2024",Current,Stony Plain Rd/149 St Reduced to 1 Lane Each W,Stony Plain Road,139 Street NW,157 Street NW,Travel Delays,2 Years,"Stony Plain Rd, from 139 St - 157 St, and 149 St, from 100 Av - 102 Av, will be reduced to 1 lane in each direction for LRT construction work. Use other routes. Various sidewalk closures will also be required for this and pedestrians will be detoured.",WLRT Construction,Construction,Northeast,Road,POINT (-113.561369862447 53.543604268445)
34,"May 20, 2022","May 20, 2022","May 20, 2024",Current,156 St/Meadowlark Rd Reduced to 1 Lane Each Way,156 Street NW,Stony Plain Road,87 Avenue NW,Travel Delays,2 Years,156 St/Meadowlark Rd will be reduced to 1 lane in each directon from Stony Plain Rd to 87 Av in various stages for LRT construction. Use other routes. Sidewalk closures will take place on one side of 156 St at a time.,LRT Construction,Construction,Northwest,Road and Sidewalk,POINT (-113.590332225448 53.519453481099)
212,"Mar 29, 2023","Apr 03, 2023","Apr 07, 2023",Current,97 Street Exit Ramp Work,Yellowhead Trail,107 Street,97 Street,Increased Travel Time,5 Days,"Beginning at 9 a.m. on Monday April 3, Crews will begin work along the  Yellowhead Trail Eastbound Exit Ramp to 97 Street for EPCOR Drainage CB Repairs.",EPCOR Drainage CB Repairs,Construction,Northeast,Road,POINT (-113.505685589152 53.581345947639)
119,"Feb 10, 2023","Feb 15, 2023","Apr 15, 2023",Current,Right Turn Bay SB to WB Closed,170 Street NW,87 Avenue NW,,Travel Delays,2 Months,The right turn bay from SB 170 St to WB 87 Av will be closed for construction on the WLRT line. Right turns will be allowed from the curb lane.,West LRT Construction,Construction,Northwest,Road,POINT (-113.615383585594 53.519548030193)
212,"Mar 29, 2023","Apr 03, 2023","Apr 07, 2023",Current,97 Street Exit Ramp Work,Yellowhead Trail,107 Street,97 Street,Increased Travel Time,5 Days,"Beginning at 9 a.m. on Monday April 3, Crews will begin work along the  Yellowhead Trail Eastbound Exit Ramp to 97 Street for EPCOR Drainage CB Repairs.",EPCOR Drainage CB Repairs,Construction,Northeast,Road,POINT (-113.492107081909 53.581453107211)
192,"Mar 17, 2023","Mar 17, 2023","Mar 24, 2023",Current,Traffic split along 87 Ave,87 Avenue NW,109 Street NW,110 Street NW,Travel Delays,8 Days,Epcor will working on the Northside of 87 Ave from 109 St to 110 St to repair a sewer line. The alley access behind the Garneau will be maintained.,Drainage Construction,Construction,Central,Road and Sidewalk,POINT (-113.512044999585 53.522890795097)
20,"Sep 29, 2022","Sep 18, 2022","Apr 28, 2023",Current,125 Av closed at Fort Road,125 Avenue,66 Street,Fort Road,Total Closure,7 months,125 Avenue is closed at Fort Road.  Local access maintained from 66 Street.,Fort Road Widening Work,Construction,Northeast,Road,POINT (-113.448210569401 53.582796384358)
217,"Mar 31, 2023","Apr 14, 2023",,Current,Yellowhead Trail/149 Street Left Turn Bans,Yellowhead Trail,149 Street NW,,Permanent Closure,Permanent Closure,"Starting on April 14 @ 9PM, left turns from Yellowhead Trail onto 149 Street and left turns from 149 Street onto Yellowhead Trail will be banned. These left turns are permanently banned as part of the YHT Freeway Conversion Program.",YHT Freeway Conversion,Construction,Northwest,Road,POINT (-113.577991003266 53.581289296167)
20,"Sep 29, 2022","Sep 18, 2022","Apr 28, 2023",Current,125 Av closed at Fort Road,125 Avenue,66 Street,Fort Road,Total Closure,7 months,125 Avenue is closed at Fort Road.  Local access maintained from 66 Street.,Fort Road Widening Work,Construction,Northeast,Road,POINT (-113.442952695989 53.581156403455)
122,"Feb 10, 2023","Feb 14, 2023","Apr 06, 2023",REVISED,87 Av Reduced to 1 Lane WB,87 Avenue NW,172 Street NW,175 Street NW,Travel Delays,7 Weeks,87 Av will be reduced to 1 lane WB from 172 St to 175 St. Stay left or use other routes.  Https://marigoldinfra.ca/,Gas Line Relocation for WLRT,Construction,Northwest,Road,POINT (-113.618359455851 53.519625397614)
122,"Feb 10, 2023","Feb 14, 2023","Apr 06, 2023",REVISED,87 Av Reduced to 1 Lane WB,87 Avenue NW,172 Street NW,175 Street NW,Travel Delays,7 Weeks,87 Av will be reduced to 1 lane WB from 172 St to 175 St. Stay left or use other routes.  Https://marigoldinfra.ca/,Gas Line Relocation for WLRT,Construction,Northwest,Road,POINT (-113.623716708035 53.520304927592)
219,"Mar 31, 2023","Apr 14, 2023","Jul 31, 2023",Current,Northbound 149 Street Closure,149 Street NW,124 Avenue NW,Yellowhead Trail,Directional Closure,3.5 Months,"On the evening of April 14, Northbound 149 Street will be closed from North of 124 Avenue except for local business access. Detour using 118 Avenue, 123 Avenue, or 124 Avenue.",YHT Freeway Conversion Program,Construction,Northwest,Road,POINT (-113.57798208839 53.57899679127)
220,"Apr 03, 2023","Apr 05, 2023","Apr 07, 2023",Current,WBD Princess Elizabeth Ave Closed at 106 St,Princess Elizabeth Avenue,106 Street NW,109 Street NW,Directional Closure,2 Nights (8pm - 6am),"On the nights of April 5 & 6 from 8pm - 6am, Westbound Princess Elizabeth Ave will be closed from 106 St to 109 St/Kingsway Mall access. Please use other routes.",Power Installation,Construction,Central,Road,POINT (-113.50745741524 53.564528773525)
220,"Apr 03, 2023","Apr 05, 2023","Apr 07, 2023",Current,WBD Princess Elizabeth Ave Closed at 106 St,Princess Elizabeth Avenue,106 Street NW,109 Street NW,Directional Closure,2 Nights (8pm - 6am),"On the nights of April 5 & 6 from 8pm - 6am, Westbound Princess Elizabeth Ave will be closed from 106 St to 109 St/Kingsway Mall access. Please use other routes.",Power Installation,Construction,Central,Road,POINT (-113.503052702714 53.566421356283)
76,"Jan 24, 2023","Jan 23, 2023","Apr 14, 2023",Current,Single lane closures,34 Street NW,Whitemud Drive NW,56 Avenue NW,Travel Delays,3 Months,Staged turning lane closures due to drainage installation contruction. Closure to go into peak hours. Speed reduced accordingly. Expect travel delays.,Drainage Installation,Construction,Southeast,Road,POINT (-113.393824776693 53.492881911684)
125,"Feb 10, 2023","Mar 06, 2023","Apr 06, 2023",Current,156 St and 100 Av Reduced to 1 Lane Each Way,156 Street NW,100 Avenue NW,,Travel Delays,1 Month,The intersection of 156 St and 100 Av will be reduced to one lane in each direction. Use other routes.Https://marigoldinfra.ca/,WLRT Construction,Construction,Northwest,Road,POINT (-113.590339635876 53.53924750852)
215,"Mar 29, 2023","Mar 27, 2023","Apr 10, 2023",Current,Reduced to one lane each direction,132 Avenue,121 Street,123A Street,Increased Travel Time,14 Days,Reduced to one lane each direction for EPCOR Drainage work.,EPCOR Drainage work.,Construction,Northeast,Road,POINT (-113.530407612229 53.59215743146)
135,"Feb 15, 2023","Feb 27, 2023","May 29, 2023",Current,Intersection closure at 86 Street,123 Avenue,85 Street,87 Street,Increased Travel Time,3 months,"Beginning on Monday February 27, 123 Avenue at 86 Street intersection is closed for EPCOR Drainage work.  Pedestrian detour in place.",EPCOR Drainage Shaft,Construction,Northeast,Road and Sidewalk,POINT (-113.470862988515 53.578294781777)
215,"Mar 29, 2023","Mar 27, 2023","Apr 10, 2023",Current,Reduced to one lane each direction,132 Avenue,121 Street,123A Street,Increased Travel Time,14 Days,Reduced to one lane each direction for EPCOR Drainage work.,EPCOR Drainage work.,Construction,Northeast,Road,POINT (-113.535048122451 53.592173782847)
134,"Feb 15, 2023","Feb 27, 2023","May 29, 2023",Current,Intersection closure at 123 Avenue,86 Street,122 Avenue,124 Avenue,Increased Travel Time,3 months,"Beginning on Monday February 27, 86 Street at 123 Avenue intersection is closed for EPCOR Drainage work.  Pedestrian detour in place.",EPCOR Drainage Shaft,Construction,Northeast,Road and Sidewalk,POINT (-113.472642089851 53.57671153658)
134,"Feb 15, 2023","Feb 27, 2023","May 29, 2023",Current,Intersection closure at 123 Avenue,86 Street,122 Avenue,124 Avenue,Increased Travel Time,3 months,"Beginning on Monday February 27, 86 Street at 123 Avenue intersection is closed for EPCOR Drainage work.  Pedestrian detour in place.",EPCOR Drainage Shaft,Construction,Northeast,Road and Sidewalk,POINT (-113.472634054978 53.579845927223)
179,"Mar 13, 2023","May 11, 2023","Oct 12, 2023",Current,108 Ave Total Closure,108 Avenue NW,123 Street NW,124 Street,Total Closure,Thursdays (2pm - 8pm),"108 Av, 123 St - 124 St is totally closed to traffic on Thursdays from 2pm to 8 pm. No parking permitted in closure areas.",Farmer's Market Closure,Special Event,Central,Road,POINT (-113.534132894678 53.55255354728)
181,"Mar 13, 2023","Jun 04, 2023","Sep 24, 2023",Current,102 Ave Total Closure,102 Avenue NW,122 Street NW,124 Street NW,Total Closure,Sundays (9am - 4pm),"102 Ave, 122 St - 124 St is totally closed to traffic on Sundays from 9am - 4pm. Bike lane also closed. Cyclists are asked to dismount through the market area.",Farmer's Market,Special Event,Central,Road,POINT (-113.532347138597 53.543023668341)
19,"Nov 16, 2022","Dec 12, 2022","Apr 07, 2023",Current,Reduced to one lane each direction,127 Avenue,85 Street,87 Street,Travel Delays,4 months,Traffic is redcued to one lane each direction.  Pedestrian detour to north side of 127 Avenue.,EPCOR Drainage Shaft,Construction,Northeast,Road and Sidewalk,POINT (-113.470865045682 53.584857230842)
